step,df,V,P,Q,I,action,reward,load_disturbance
171,-0.07765766233205795,0.9889581203460693,0.9176402688026428,0.35106709599494934,0.9934726357460022,0.011064874939620495,-0.12189478926088211,0.35
172,-0.07646594196557999,0.99033123254776,0.9221647381782532,0.3537054657936096,0.9973145127296448,0.011326584964990616,-0.1179398184869099,0.35
173,-0.07731705158948898,0.9899992942810059,0.9141619801521301,0.3479134440422058,0.988009512424469,0.01149311475455761,-0.12062471515551033,0.35
174,-0.07916359603404999,0.9895628094673157,0.9150325059890747,0.35060957074165344,0.990239143371582,0.010723081417381763,-0.12648444883954288,0.35
175,-0.07891066372394562,0.989894688129425,0.923957109451294,0.3515876233577728,0.9986822009086609,0.01121594849973917,-0.12562197853463417,0.35
176,-0.07814890146255493,0.9889413118362427,0.9173921346664429,0.35498204827308655,0.994676947593689,0.01167003158479929,-0.12343609762509251,0.35
177,-0.07575414329767227,0.9871378540992737,0.9188315868377686,0.35912394523620605,0.9993739724159241,0.01148140523582697,-0.11649406474338313,0.35
178,-0.07564705610275269,0.9887519478797913,0.9073975682258606,0.3527235984802246,0.9846171140670776,0.01160836685448885,-0.11578210383530796,0.35
179,-0.07434488087892532,0.9878876805305481,0.9125312566757202,0.35547226667404175,0.9913305044174194,0.010253067128360271,-0.11206323365758819,0.35
180,-0.07280099391937256,0.9881711006164551,0.9059281945228577,0.34886911511421204,0.9824016094207764,0.010774693451821804,-0.10745702679508465,0.35
181,-0.07487717270851135,0.9868146181106567,0.9174667596817017,0.35793212056159973,0.9979736804962158,0.00953976996243,-0.11391616597905115,0.35
182,-0.07576299458742142,0.9874294996261597,0.9118283987045288,0.3544174134731293,0.9907397031784058,0.011467339470982552,-0.11644729634345606,0.35
183,-0.07519404590129852,0.987200915813446,0.9099479913711548,0.3515007197856903,0.9881255030632019,0.010905789211392403,-0.11478058107259922,0.35
184,-0.0770077258348465,0.9868466854095459,0.9144245386123657,0.3571479618549347,0.9947806000709534,0.010531291365623474,-0.12038937172341808,0.35
185,-0.07546096295118332,0.9880701899528503,0.9108031988143921,0.3560255765914917,0.9897216558456421,0.011436251923441887,-0.11537589916255792,0.35
186,-0.07506113499403,0.9886183142662048,0.917186439037323,0.35631534457206726,0.9952953457832336,0.01078508235514164,-0.11403714247879039,0.35
187,-0.07570190727710724,0.9892357587814331,0.9115179777145386,0.3538060784339905,0.988414466381073,0.011234086938202381,-0.11583741788545143,0.35
188,-0.07714389264583588,0.9894147515296936,0.9075742959976196,0.3500309884548187,0.9831414818763733,0.010642078705132008,-0.12020076981097422,0.35
189,-0.0720137283205986,0.9898019433021545,0.9083502888679504,0.34830206632614136,0.9828616976737976,0.010270265862345695,-0.1048123218544201,0.35
190,-0.07165161520242691,0.9891815185546875,0.9114450216293335,0.35099220275878906,0.9873740077018738,0.009428069926798344,-0.10389405750334517,0.35
191,-0.07174994051456451,0.989253580570221,0.9053015112876892,0.34633684158325195,0.9798179864883423,0.009902887046337128,-0.10416501449384583,0.35
192,-0.07527962327003479,0.9888341426849365,0.9126335382461548,0.3509819507598877,0.9888389110565186,0.009025334380567074,-0.11462808915546781,0.35
193,-0.07661879807710648,0.9879015684127808,0.9142817854881287,0.35086992383003235,0.9912891387939453,0.010581281036138535,-0.1189290035151538,0.35
